repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
2,16,random_forest,2023,16,0.0079090459713297,0.584096287992028,0.0142002779037702,0.0078405935090209,0.007850117964169592,0.0012132881559442366
2,16,xgboost,2023,16,0.0079090459713297,0.6074364723467862,0.0160220004393882,0.0078355940838636,0.007850117964169592,0.0018501480324606412
2,17,logistic,2037,37,0.0181639666175748,0.4186486486486487,0.0165597916031439,0.0178866088535613,0.01785130064975206,-0.0019779065123597395
2,17,random_forest,2037,37,0.0181639666175748,0.5492027027027027,0.0217870733888544,0.0178382954270363,0.01785130064975206,0.0007285308208588859
2,17,xgboost,2037,37,0.0181639666175748,0.4863648648648649,0.0188025232308287,0.0178622016247286,0.01785130064975206,-0.0006106543825807886
2,18,logistic,2034,24,0.0117994100294985,0.5850746268656716,0.0165864161949246,0.0116658948824042,0.01166066822724275,-0.00044822947189593343
2,18,random_forest,2034,24,0.0117994100294985,0.490941127694859,0.012324522361844,0.0116652735482851,0.01166066822724275,-0.0003949448653028931
2,18,xgboost,2034,24,0.0117994100294985,0.4384950248756218,0.010414276867917,0.0116721071869734,0.01166066822724275,-0.0009809866388210686
2,19,logistic,2027,24,0.0118401578687715,0.4931769013146946,0.0124298309719237,0.0117166143016208,0.011703297513377377,-0.001137866334526727
2,19,random_forest,2027,24,0.0118401578687715,0.5032451323015477,0.0187839647170148,0.0117025790488823,0.011703297513377377,6.138991974313779e-05
2,19,xgboost,2027,24,0.0118401578687715,0.5215302046929606,0.0288426220604812,0.0116952036481476,0.011703297513377377,0.0006915884365518155
2,20,logistic,2020,21,0.0103960396039603,0.4659353486266943,0.0130657396294563,0.0103010222197701,0.010299589095488414,-0.00013914383072943792
2,20,random_forest,2020,21,0.0103960396039603,0.3498534981776602,0.0121568384625432,0.0102976300064175,0.010299589095488414,0.00019021041060474086
2,20,xgboost,2020,21,0.0103960396039603,0.4481526477524477,0.0093024015644422,0.0103144069269554,0.010299589095488414,-0.0014386818085272424
