metric,original_estimate,corrected_estimate,difference_original_minus_corrected,ci_lower,ci_upper
average_precision,0.08638701476276085,0.02547421927045302,0.06091279549230783,0.007859034599340372,0.11686009859805116
brier,0.1588956576148027,0.015651897194196504,0.14324376042060621,0.12676622864777298,0.16015775164394264
roc_auc,0.6788001348163129,0.5770699921357151,0.10173014268059777,0.027416159244130506,0.19871607154473275
