model,full_window_roc_auc,nonoverlap_mean_roc_auc,roc_auc_change,roc_wilcoxon_vs_0_5_p,full_window_average_precision,nonoverlap_mean_average_precision,mean_offset_prevalence,ap_wilcoxon_vs_prevalence_p,nonoverlap_mean_brier_skill
logistic,0.6076668908044143,0.4854041156270651,-0.12226277517734918,0.5167608261108398,0.017671929582731786,0.01583305656939935,0.013422596985835169,0.1906871795654297,-0.0006746007525579026
random_forest,0.6153201685872836,0.4887915036753605,-0.12652866491192305,0.49480247497558594,0.018155185974743936,0.018511071875209586,0.013422596985835169,0.10321426391601562,0.00035788413493853175
xgboost,0.5916889311306737,0.473574127647636,-0.11811480348303766,0.09579944610595703,0.017192116220074653,0.018091750166232583,0.013422596985835169,0.05019187927246094,-0.0005163284424160684
