control,iteration,roc_auc,average_precision
within_athlete_circular_shift,51,0.5331570368097338,0.01535728327118063
within_athlete_permutation,52,0.5329983761168702,0.015096848259333492
within_athlete_circular_shift,52,0.5313647723422944,0.015287212013202251
within_athlete_permutation,53,0.5180543058646173,0.014258927568333324
within_athlete_circular_shift,53,0.5235190999342003,0.01443256553800174
within_athlete_permutation,54,0.5472100205019106,0.015467616802635427
within_athlete_circular_shift,54,0.4928433194766092,0.012671594922618394
within_athlete_permutation,55,0.5210332715838987,0.014175670489297375
within_athlete_circular_shift,55,0.5587208290556661,0.01577297444579763
within_athlete_permutation,56,0.5487328871859454,0.016405561668494682
within_athlete_circular_shift,56,0.483349112218871,0.012968318822355017
within_athlete_permutation,57,0.5088477843829193,0.01379555733366924
within_athlete_circular_shift,57,0.5543960894999531,0.015714736497063522
within_athlete_permutation,58,0.5401497432369953,0.015858224666274616
within_athlete_circular_shift,58,0.561807689812579,0.016946279698726176
within_athlete_permutation,59,0.5456245462755206,0.015345841682280384
within_athlete_circular_shift,59,0.5762327970846304,0.0169056109576097
within_athlete_permutation,60,0.5578241819572889,0.015605078748584664
within_athlete_circular_shift,60,0.5169295325337828,0.01465044285822966
within_athlete_permutation,61,0.535534702392782,0.015094972654368703
within_athlete_circular_shift,61,0.5377016441687974,0.01531957455706286
within_athlete_permutation,62,0.5566631209653918,0.016589200006292965
within_athlete_circular_shift,62,0.5106860571561553,0.014505661220082951
within_athlete_permutation,63,0.5319667520998755,0.014425489678843679
within_athlete_circular_shift,63,0.5528436283954037,0.01582875663579345
within_athlete_permutation,64,0.5308303428277809,0.015163325939858585
within_athlete_circular_shift,64,0.5614603827091973,0.016354973053025586
within_athlete_permutation,65,0.5402999807440618,0.015801594562315373
within_athlete_circular_shift,65,0.5484180577451605,0.016989024414101456
within_athlete_permutation,66,0.5457200227776124,0.01626157017422199
within_athlete_circular_shift,66,0.5410287407749125,0.014447816652085018
within_athlete_permutation,67,0.544268928226837,0.015253543824342145
within_athlete_circular_shift,67,0.5539622645395206,0.01577584388144272
within_athlete_permutation,68,0.5244829883568507,0.014687649067230243
within_athlete_circular_shift,68,0.5219192300919857,0.01502091141347217
within_athlete_permutation,69,0.5452843031152401,0.01590536661388041
within_athlete_circular_shift,69,0.5136156782466593,0.0142929634465314
within_athlete_permutation,70,0.5495765032245974,0.0160013230062017
within_athlete_circular_shift,70,0.5557997341238909,0.016306192891688113
within_athlete_permutation,71,0.5397094721710504,0.01554836756084918
within_athlete_circular_shift,71,0.5399196193296668,0.015604364098174197
within_athlete_permutation,72,0.5439949790398598,0.015980388845353292
within_athlete_circular_shift,72,0.5634743067089955,0.01831027021747941
within_athlete_permutation,73,0.4792728669414671,0.012834460802215794
within_athlete_circular_shift,73,0.513461218849401,0.01407506313103996
within_athlete_permutation,74,0.5326092002195383,0.014857366196724113
within_athlete_circular_shift,74,0.5670459846220224,0.016398377338013456
within_athlete_permutation,75,0.5558022260688333,0.01640531807852534
within_athlete_circular_shift,75,0.4944637221213659,0.01316039752667676
within_athlete_permutation,76,0.555548109468464,0.01692099820594675
within_athlete_circular_shift,76,0.5295692539302193,0.014935721051764356
within_athlete_permutation,77,0.5345852919643013,0.015038469692995427
within_athlete_circular_shift,77,0.4936676589824833,0.012816050134303883
within_athlete_permutation,78,0.5440866249488996,0.01554529744813301
within_athlete_circular_shift,78,0.5090046121576022,0.013997800362884354
within_athlete_permutation,79,0.525935854042048,0.014844875515420027
within_athlete_circular_shift,79,0.5275122666504656,0.016272032846968265
within_athlete_permutation,80,0.5296765311302618,0.015455508834067797
within_athlete_circular_shift,80,0.5202934522602043,0.014314185100187202
within_athlete_permutation,81,0.5339635208092849,0.015472772122170918
within_athlete_circular_shift,81,0.5033090145593427,0.013502521070823365
within_athlete_permutation,82,0.572651583878146,0.01761615439326959
within_athlete_circular_shift,82,0.4971979211824588,0.0142852278843385
within_athlete_permutation,83,0.5474274375494914,0.015274144273840003
within_athlete_circular_shift,83,0.5717642455327768,0.01714130323613356
within_athlete_permutation,84,0.5435581678644135,0.015457684999061822
within_athlete_circular_shift,84,0.530542533484223,0.015217876912701558
within_athlete_permutation,85,0.538693397066713,0.015650023260477
within_athlete_circular_shift,85,0.5012122591334416,0.01324258248200184
within_athlete_permutation,86,0.5343747535085452,0.014966995516315421
within_athlete_circular_shift,86,0.5324500246620171,0.014880059763231958
within_athlete_permutation,87,0.5345560064625812,0.014467334592150431
within_athlete_circular_shift,87,0.5257770697816665,0.014750907467055633
within_athlete_permutation,88,0.5280611535645625,0.015289606467378794
within_athlete_circular_shift,88,0.5383241155397481,0.015313836530480653
within_athlete_permutation,89,0.5442962572428586,0.01555198972478039
within_athlete_circular_shift,89,0.5246571773677854,0.014899725660230338
within_athlete_permutation,90,0.5404005647035564,0.015511711177206018
within_athlete_circular_shift,90,0.5269930565352285,0.015254267292884184
within_athlete_permutation,91,0.5266567469409316,0.014536938785389315
within_athlete_circular_shift,91,0.5613931207903379,0.016324235686854816
within_athlete_permutation,92,0.556584264294445,0.01608679239750919
within_athlete_circular_shift,92,0.5457872846964719,0.014796407747421551
within_athlete_permutation,93,0.5250777806038126,0.014503380575881002
within_athlete_circular_shift,93,0.5474320095476501,0.015213337187203808
within_athlete_permutation,94,0.5266488386197921,0.014750484618326502
within_athlete_circular_shift,94,0.5554806210091554,0.015729120235591233
within_athlete_permutation,95,0.5506972194219305,0.017043625682048404
within_athlete_circular_shift,95,0.5606507271433558,0.01841892891763653
within_athlete_permutation,96,0.5245154660194474,0.014141784748170764
within_athlete_circular_shift,96,0.5198664441078373,0.014709036380756494
within_athlete_permutation,97,0.5290376870632018,0.014911739351725304
within_athlete_circular_shift,97,0.5500407463889967,0.01702098287135545
within_athlete_permutation,98,0.564573089671918,0.016674228660151467
within_athlete_circular_shift,98,0.5357803752127679,0.015257238536566842
within_athlete_permutation,99,0.540405466215096,0.01495052171505801
within_athlete_circular_shift,99,0.5761779331067243,0.01677642404623611
