control,iteration,roc_auc,average_precision
within_athlete_permutation,0,0.5506807849420623,0.01550618698147754
within_athlete_circular_shift,0,0.5529880788237196,0.016268674930720713
within_athlete_permutation,1,0.530749303130686,0.01490256483076423
within_athlete_circular_shift,1,0.5538968355388418,0.01592026420330863
within_athlete_permutation,2,0.5203109988477329,0.014769202147396044
within_athlete_circular_shift,2,0.48067233086438566,0.013039192752380888
within_athlete_permutation,3,0.5493919551367532,0.015546804726897352
within_athlete_circular_shift,3,0.5144316769450815,0.013673719848521877
within_athlete_permutation,4,0.5343987256069997,0.015006945549652394
within_athlete_circular_shift,4,0.5847749578068413,0.01748400401318857
within_athlete_permutation,5,0.523907781561461,0.01463058566630947
within_athlete_circular_shift,5,0.523226471457448,0.014683426328523798
within_athlete_permutation,6,0.5581186639468083,0.016616566868674243
within_athlete_circular_shift,6,0.5544775204941876,0.016914250392436585
within_athlete_permutation,7,0.5647484731688581,0.017327560226758257
within_athlete_circular_shift,7,0.5197355449173076,0.015049138122350331
within_athlete_permutation,8,0.5247452810079815,0.014351114249978019
within_athlete_circular_shift,8,0.5373154544864791,0.01490506786748891
within_athlete_permutation,9,0.5355024512706346,0.01526770613005744
within_athlete_circular_shift,9,0.5767481766068153,0.017093035491875998
within_athlete_permutation,10,0.5438697227659766,0.01739392570026365
within_athlete_circular_shift,10,0.5267581134947057,0.014452956935875656
within_athlete_permutation,11,0.5599849865465865,0.016311161456498014
within_athlete_circular_shift,11,0.5094838069916561,0.015258055238294817
within_athlete_permutation,12,0.5762533092925863,0.017334022470919985
within_athlete_circular_shift,12,0.5222052065173628,0.014592697621713741
within_athlete_permutation,13,0.5534307388616755,0.015804281543292976
within_athlete_circular_shift,13,0.5887382417783837,0.01903512648677145
within_athlete_permutation,14,0.5549873806672441,0.016554868113094666
within_athlete_circular_shift,14,0.5272372465450007,0.015422582111687731
within_athlete_permutation,15,0.5158309555167233,0.014477231883458319
within_athlete_circular_shift,15,0.5310250028574988,0.01404741898164304
within_athlete_permutation,16,0.5535450182210602,0.015529306804203804
within_athlete_circular_shift,16,0.5636982316458473,0.016390032246435787
